redshift	log_Sigma1kpc_Msun_kpc-2	log_sSFR1kpc_yr-1	xray_L_gt_5e43
3.39483881	10.29451007	-9.13442511	1
3.54643059	10.35992121	-8.46890211	0
1.66205096	10.15223733	-11.08385512	0
4.94492674	9.50050265	-8.43056507	0
1.83101308	10.23270532	-10.93973766	0
3.46004915	10.44249888	-12.30794906	0
3.50318217	9.55588339	-9.65045420	0
1.62696493	10.26746544	-9.32755610	0
2.62280083	9.91024714	-9.42687169	0
3.46851921	9.28084596	-8.86289079	0
2.56907511	10.03032966	-11.53449314	0
2.98709965	9.62952079	-9.06084310	0
2.62852502	9.95485318	-9.37510441	0
0.64046931	9.86763484	-9.70920418	0
4.78595495	9.28346856	-8.46983781	0
3.38805652	9.56206914	-8.58142736	0
3.98095989	9.37046674	-8.38284087	0
2.56881523	10.47098240	-8.33338636	0
3.99298716	10.15514886	-10.13651387	0
0.64201951	9.84237006	-8.73640502	0
3.46864343	8.93452167	-9.41571961	0
3.90948772	9.93255759	-10.42281110	0
0.64048374	9.91777097	-9.60788737	0
2.56905842	9.61955326	-8.36891385	0
3.44790578	9.90818502	-8.45442388	0
1.66539073	10.02262087	-10.64398016	0
1.98914039	10.06694608	-10.27188486	0
4.80470324	9.50617847	-8.50936560	0
3.73646617	9.91246648	-9.29924108	0
3.24422693	9.73818599	-8.60182675	0
4.12757635	9.80685294	-8.51333016	0
2.61975718	9.95580527	-11.54745569	1
0.71430433	10.09792568	-11.20420915	0
4.40868282	8.99071875	-8.34939570	0
1.80011761	9.89603222	-9.97018047	0
2.46087813	10.23031689	-10.38869623	0
1.45599997	10.29077171	-13.07267546	0
1.76823080	10.30872307	-12.76928889	0
3.79713678	9.79916053	-8.40980310	1
2.73104572	9.78911744	-11.81103769	0
2.98600459	9.63661050	-9.30101919	0
0.75122273	10.11040557	-13.10844454	0
2.54517078	10.15781699	-12.53112331	0
0.60299999	10.26537057	-12.93401858	1
0.81272274	10.17129272	-13.47063892	0
4.44837856	9.26471696	-8.58953572	0
2.63412142	10.10406937	-9.93644113	0
4.31504393	8.99036032	-8.23123299	0
4.44698572	9.59737118	-9.14705552	0
0.64726877	10.22595933	-12.82613801	0
1.34110928	10.21076882	-13.32411292	0
1.41100001	10.09847469	-12.76454688	0
2.64551044	10.04792905	-10.21646553	0
2.65895653	10.08315072	-10.41522572	0
0.74226111	10.18217121	-13.29705770	0
0.78905070	9.99779199	-13.44703709	0
2.54418898	9.71444680	-9.50042588	0
2.04857063	10.04848010	-12.07550946	0
1.76838815	10.24001704	-9.74138635	0
3.98685455	10.37389384	-8.28870313	0
3.29205656	9.66812798	-8.96653779	0
3.76867509	9.47901805	-8.66181930	0
3.19677544	9.57692274	-9.09729689	0
4.09274101	10.03983113	-9.89853679	0
2.17132783	10.04944181	-8.55302002	0
3.19398665	10.24971573	-10.47485943	0
0.73635161	10.01724596	-13.53247267	0
2.18195009	9.73800987	-8.62020946	0
0.64399999	10.16390198	-13.66948186	0
2.12095451	9.99890486	-12.19129543	0
4.36274624	10.18407212	-9.46275754	0
4.40594149	9.33585052	-8.75457282	0
0.91900003	10.21444881	-12.97624453	0
0.78458339	10.14756708	-13.51423355	0
2.19255829	9.71881637	-9.58495696	0
1.89014781	10.23575161	-10.88489197	0
3.65459704	9.93112018	-9.59413254	0
4.23140287	9.24699956	-8.34052098	0
